,y,x,osmid,highway,ref,geometry
5509971973,48.8654563,2.391081,5509971973,,,POINT (2.391081 48.8654563)
166297606,48.8164209,2.3601419,166297606,,,POINT (2.3601419 48.8164209)
271450120,48.8756882,2.2778915,271450120,,,POINT (2.2778915 48.8756882)
116129800,48.8445633,2.2870322,116129800,,,POINT (2.2870322 48.8445633)
116129802,48.8439889,2.2885535,116129802,,,POINT (2.2885535 48.8439889)
174981131,48.8685195,2.3861668,174981131,,,POINT (2.3861668 48.8685195)
116129804,48.8427592,2.291955,116129804,,,POINT (2.291955 48.8427592)
268140568,48.8875714,2.2877878,268140568,,,POINT (2.2877878 48.8875714)
141557799,48.8464733,2.2775834,141557799,,,POINT (2.2775834 48.8464733)
6690897971,48.8256656,2.3876338,6690897971,,,POINT (2.3876338 48.8256656)
209158195,48.8989325,2.3263913,209158195,,,POINT (2.3263913 48.8989325)
6180929592,48.8280176,2.3269764,6180929592,,,POINT (2.3269764 48.8280176)
6171131962,48.8330818,2.3514935,6171131962,,,POINT (2.3514935 48.8330818)
6194954302,48.8270491,2.3249658,6194954302,traffic_signals,,POINT (2.3249658 48.8270491)
7228489799,48.8300514,2.2759392,7228489799,,,POINT (2.2759392 48.8300514)
1854603337,48.8958185,2.3835867,1854603337,traffic_signals,,POINT (2.3835867 48.8958185)
245399630,48.8338647,2.3457564,245399630,,,POINT (2.3457564 48.8338647)
94175315,48.8763633,2.3324618,94175315,traffic_signals,,POINT (2.3324618 48.8763633)
5383094356,48.8913247,2.3067737,5383094356,,,POINT (2.3067737 48.8913247)
5383094357,48.8899644,2.3039831,5383094357,traffic_signals,,POINT (2.3039831 48.8899644)
5383094362,48.8900398,2.3041396,5383094362,,,POINT (2.3041396 48.8900398)
3284697178,48.8362013,2.2589445,3284697178,,,POINT (2.2589445 48.8362013)
3284697179,48.8364277,2.2592404,3284697179,,,POINT (2.2592404 48.8364277)
25002088,48.8410443,2.3927795,25002088,,,POINT (2.3927795 48.8410443)
21659758,48.8406571,2.3539776,21659758,,,POINT (2.3539776 48.8406571)
21659759,48.8408884,2.3548415,21659759,,,POINT (2.3548415 48.8408884)
21659772,48.8413116,2.3538826,21659772,,,POINT (2.3538826 48.8413116)
21659773,48.8414041,2.3547054,21659773,,,POINT (2.3547054 48.8414041)
25198716,48.8611194,2.311494,25198716,traffic_signals,,POINT (2.311494 48.8611194)
4964974719,48.897518,2.3277108,4964974719,,,POINT (2.3277108 48.897518)
203325570,48.8780086,2.401738,203325570,,,POINT (2.401738 48.8780086)
906068099,48.8760675,2.3544465,906068099,,,POINT (2.3544465 48.8760675)
677773445,48.8314042,2.2920646,677773445,,,POINT (2.2920646 48.8314042)
430637190,48.88149,2.3704203,430637190,,,POINT (2.3704203 48.88149)
256409741,48.8624931,2.3780886,256409741,,,POINT (2.3780886 48.8624931)
258048145,48.8816703,2.3885226,258048145,,,POINT (2.3885226 48.8816703)
21659803,48.8415849,2.3558292,21659803,traffic_signals,,POINT (2.3558292 48.8415849)
21659818,48.843004,2.3521901,21659818,,,POINT (2.3521901 48.843004)
21659819,48.8426925,2.3521367,21659819,traffic_signals,,POINT (2.3521367 48.8426925)
21659820,48.8427176,2.3527018,21659820,,,POINT (2.3527018 48.8427176)
21659821,48.8429841,2.3527152,21659821,,,POINT (2.3527152 48.8429841)
258408623,48.859972,2.4057501,258408623,,,POINT (2.4057501 48.859972)
21659826,48.8400123,2.3514625,21659826,,,POINT (2.3514625 48.8400123)
21659827,48.8404698,2.35171,21659827,traffic_signals,,POINT (2.35171 48.8404698)
5059182770,48.8646686,2.3067022,5059182770,,,POINT (2.3067022 48.8646686)
5059182773,48.8635459,2.3218858,5059182773,,,POINT (2.3218858 48.8635459)
5059182771,48.8648963,2.3170149,5059182771,,,POINT (2.3170149 48.8648963)
249168058,48.8526781,2.2949293,249168058,,,POINT (2.2949293 48.8526781)
5059182779,48.8586555,2.3416031,5059182779,,,POINT (2.3416031 48.8586555)
63111356,48.8302331,2.3234593,63111356,,,POINT (2.3234593 48.8302331)
5059182780,48.8584826,2.3424643,5059182780,,,POINT (2.3424643 48.8584826)
884211905,48.8912396,2.3773557,884211905,,,POINT (2.3773557 48.8912396)
258048194,48.8806627,2.3882443,258048194,,,POINT (2.3882443 48.8806627)
2160033987,48.8952086,2.3590612,2160033987,traffic_signals,,POINT (2.3590612 48.8952086)
